route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
25613,EPTC,25613,Nazareth/Intendente (Mais),,3,https://linhas.eptc.com.br,008000,000000
A931,EPTC,A931,Alimentadora Escolar Ana Iris (Mob),,3,https://linhas.eptc.com.br,0000FF,000000
49231,EPTC,49231,Petrópolis/Sesc/Domingos (Via Leste),,3,https://linhas.eptc.com.br,008000,000000
4953,EPTC,4953,Manoel Elias/Morro Santana Via Teresilda Steffen,,3,https://linhas.eptc.com.br,008000,000000
T112,EPTC,T112,3ª Perimetral/Até Vdt Eduardo Utzig,,3,https://linhas.eptc.com.br,CC7722,000000
2726,EPTC,2726,Moradas Da Hipica/Via Costa Gama,,3,https://linhas.eptc.com.br,FF0000,000000
EM011,EPTC,EM011,Noite Dos Museus (Mob),,3,https://linhas.eptc.com.br,0000FF,000000
1102,EPTC,1102,Restinga Nova Via Tristeza/Barra Shopping,,3,https://linhas.eptc.com.br,FF0000,000000
111,EPTC,111,Restinga Velha (Tristeza),,3,https://linhas.eptc.com.br,FF0000,000000
1714,EPTC,1714,Ponta Grossa/Escola Odila Gay,,3,https://linhas.eptc.com.br,FF0000,000000
179,EPTC,179,Serraria,,3,https://linhas.eptc.com.br,FF0000,000000
184,EPTC,184,Juca Batista,,3,https://linhas.eptc.com.br,FF0000,000000
1841,EPTC,1841,Juca Batista Via Oswaldo Cruz,,3,https://linhas.eptc.com.br,FF0000,000000
2141,EPTC,2141,5ª Unidade/Escolar Ii,,3,https://linhas.eptc.com.br,FF0000,000000
244,EPTC,244,Santa Teresa,,3,https://linhas.eptc.com.br,FF0000,000000
2602,EPTC,2602,Belem Velho/J. Pessoa,,3,https://linhas.eptc.com.br,FF0000,000000
262,EPTC,262,Jardim V. Nova,,3,https://linhas.eptc.com.br,FF0000,000000
2672,EPTC,2672,Lami(Via Beco Da Vitoria),,3,https://linhas.eptc.com.br,FF0000,000000
2693,EPTC,2693,Praia Operaçao Veraneio,,3,https://linhas.eptc.com.br,FF0000,000000
2701,EPTC,2701,Grutinha Via Amapa,,3,https://linhas.eptc.com.br,FF0000,000000
280,EPTC,280,Otto/Hps,,3,https://linhas.eptc.com.br,FF0000,000000
2801,EPTC,2801,Otto/Hps/Sabados/Domingos/Feriados,,3,https://linhas.eptc.com.br,FF0000,000000
281,EPTC,281,Campo Novo,,3,https://linhas.eptc.com.br,FF0000,000000
286,EPTC,286,Belem Velho/Cristal/Ufrgs,,3,https://linhas.eptc.com.br,FF0000,000000
289,EPTC,289,Rincao/Via Oscar Pereira,,3,https://linhas.eptc.com.br,FF0000,000000
353,EPTC,353,Ipiranga / Puc / Ufrgs,,3,https://linhas.eptc.com.br,0000FF,000000
361,EPTC,361,C E F E R,,3,https://linhas.eptc.com.br,008000,000000
3762,EPTC,3762,Herdeiros/Esmeralda/Antônio De Carvalho/Alimentadora,,3,https://linhas.eptc.com.br,008000,000000
395,EPTC,395,Quinta Do Portal/Salgado Filho,,3,https://linhas.eptc.com.br,008000,000000
3973,EPTC,3973,Bonsucesso / Via Ipiranga,,3,https://linhas.eptc.com.br,008000,000000
398,EPTC,398,Pinheiro,,3,https://linhas.eptc.com.br,008000,000000
3981,EPTC,3981,Pinheiro/Parada 24,,3,https://linhas.eptc.com.br,008000,000000
441,EPTC,441,Antonio De Carvalho,,3,https://linhas.eptc.com.br,008000,000000
